date,FundValNet,ForeignValNet,CustomerValNet
2016-07-29,9008.0,-4107.0,-4901.0
2016-08-01,260.0,-2746.0,2486.0
2016-08-02,-1760.0,-1783.0,3543.0
2016-08-03,-886.0,4136.0,-3250.0
2016-08-04,4668.0,4743.0,-9411.0
2016-08-05,142.0,-508.0,366.0
2016-08-08,-549.0,-13095.0,13644.0
2016-08-09,4563.0,-446.0,-4117.0
2016-08-10,532.0,-427.0,-105.0
2016-08-11,-35.0,-729.0,764.0
2016-08-15,510.0,-319.0,-191.0
2016-08-16,2646.0,-5010.0,2364.0
2016-08-17,-2687.0,-6017.0,8704.0
2016-08-18,278.0,-890.0,612.0
2016-08-19,6917.0,3272.0,-10189.0
2016-08-22,-3130.0,-302.0,3432.0
2016-08-23,1200.0,-5985.0,4785.0
2016-08-24,-277.0,8376.0,-8099.0
2016-08-25,3046.0,-3937.0,891.0
2016-08-26,-169.0,6443.0,-6274.0
2016-08-29,416.0,-5647.0,5231.0
2016-08-30,-2705.0,1185.0,1520.0
2016-08-31,-2967.0,-242.0,3209.0
2016-09-01,1292.0,-5316.0,4024.0
2016-09-02,204.0,-2871.0,2667.0
2016-09-05,-1916.0,-1517.0,3433.0
2016-09-06,4670.0,-1363.0,-3307.0
2016-09-07,4538.0,680.0,-5218.0
2016-09-08,-9466.0,8231.0,1235.0
2016-09-09,-272.0,-5727.0,5999.0
2016-09-12,7467.0,-6628.0,-839.0
2016-09-13,11352.0,3063.0,-14415.0
2016-09-14,1184.0,-6548.0,5364.0
2016-09-15,3605.0,3536.0,-7141.0
2016-09-16,-14529.0,29385.0,-14856.0
2016-09-19,1650.0,-12142.0,10492.0
2016-09-20,7868.0,4460.0,-12328.0
2016-09-21,-12355.0,1760.0,10595.0
2016-09-22,-3944.0,7839.0,-3895.0
2016-09-23,-10879.0,4100.0,6779.0
2016-09-26,1372.0,5973.0,-7345.0
2016-09-27,-7729.0,9625.0,-1896.0
2016-09-28,570.0,3028.0,-3598.0
2016-09-29,-5974.0,11077.0,-5103.0
2016-09-30,3604.0,-1240.0,-2364.0
2016-10-03,-1552.0,6358.0,-4806.0
2016-10-04,-2893.0,-7487.0,10380.0
2016-10-05,-365.0,-4334.0,4699.0
2016-10-06,-754.0,5450.0,-4696.0
2016-10-07,955.0,-366.0,-589.0
2016-10-10,4479.0,-7785.0,3306.0
2016-10-11,1003.0,-337.0,-666.0
2016-10-12,-1854.0,4078.0,-2224.0
2016-10-13,6413.0,16075.0,-22488.0
2016-10-14,5565.0,-24390.0,18825.0
2016-10-17,5254.0,-7241.0,1987.0
2016-10-18,282.0,-1328.0,1046.0
2016-10-19,-578.0,9677.0,-9099.0
2016-10-20,-1108.0,2733.0,-1625.0
2016-10-21,950.0,-1606.0,656.0
2016-10-25,-991.0,1219.0,-228.0
2016-10-26,1202.0,-5625.0,4423.0
2016-10-27,-6921.0,6356.0,565.0
2016-10-28,855.0,-2221.0,1366.0
2016-10-31,-3115.0,2096.0,1019.0
2016-11-01,-6695.0,6055.0,640.0
2016-11-02,-1324.0,-2864.0,4188.0
2016-11-03,-4244.0,276.0,3968.0
2016-11-04,7995.0,-3351.0,-4644.0
2016-11-07,-6821.0,719.0,6102.0
2016-11-08,76.0,8870.0,-8946.0
